City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,khani,41.9563,42.9566,5.76,98,100,1.07,GE,2023-04-07
336,evensk,61.95,159.2333,-14.29,84,41,0.69,RU,2023-04-07
337,yaroslavskiy,44.1683,132.2072,0.77,42,1,1.63,RU,2023-04-07
338,kajiado,-1.8524,36.7768,15.32,92,54,4.16,KE,2023-04-07
339,xushan,30.1764,121.2457,6.96,82,3,1.39,CN,2023-04-07
340,general bravo,25.8,-99.1667,14.81,88,100,7.6,MX,2023-04-07
341,sabancuy,18.9667,-91.1833,30.03,60,0,5.29,MX,2023-04-07
342,papar,5.7333,115.9333,24.0,86,47,1.33,MY,2023-04-07
343,patiya,22.2931,91.9762,21.62,55,1,1.69,BD,2023-04-07
344,kangavar,34.5043,47.9653,8.66,42,0,1.15,IR,2023-04-07
345,veraval,20.9,70.3667,25.66,67,38,4.85,IN,2023-04-07
