City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kaitangata,-46.2817,169.8464,12.01,98,100,3.74,NZ,2023-04-11
162,kamensk-uralskiy,56.4185,61.9329,2.66,54,14,3.32,RU,2023-04-11
163,orlik,52.5178,99.825,-8.87,88,94,1.46,RU,2023-04-11
164,upernavik,72.7868,-56.1549,-10.47,90,80,5.38,GL,2023-04-11
165,los algarrobos,8.5,-82.4333,32.23,46,20,6.69,PA,2023-04-11
166,mar del plata,-38.0023,-57.5575,25.46,61,0,4.63,AR,2023-04-11
167,guilin,25.2819,110.2864,20.06,98,82,0.79,CN,2023-04-11
168,nouadhibou,20.931,-17.0347,21.99,73,75,4.12,MR,2023-04-11
169,obo,5.3998,26.4869,25.21,56,99,2.14,CF,2023-04-11
170,aquiraz,-3.9014,-38.3911,29.05,87,100,3.31,BR,2023-04-11
171,kavaratti,10.5669,72.642,28.7,72,26,3.12,IN,2023-04-11
172,port blair,11.6667,92.75,27.45,72,60,1.82,IN,2023-04-11
173,nhulunbuy,-12.2333,136.7667,26.34,94,40,0.0,AU,2023-04-11
174,mount gambier,-37.8333,140.7667,15.8,90,100,6.54,AU,2023-04-11
175,san policarpo,12.1791,125.5072,24.22,86,89,3.97,PH,2023-04-11
176,kavieng,-2.5744,150.7967,27.17,75,99,2.6,PG,2023-04-11
177,bontang,0.1333,117.5,25.72,86,80,1.4,ID,2023-04-11
178,coihaique,-45.5752,-72.0662,11.34,62,0,2.06,CL,2023-04-11
179,alice springs,-23.7,133.8833,21.75,37,99,1.03,AU,2023-04-11
180,najran,17.4924,44.1277,28.36,34,81,1.0,SA,2023-04-11
181,stephenville,32.2207,-98.2023,22.31,59,4,0.45,US,2023-04-11
182,ahuimanu,21.4447,-157.8378,23.44,81,40,6.69,US,2023-04-11
183,butaritari,3.0707,172.7902,27.09,79,100,6.33,KI,2023-04-11
184,vigrestad,58.5667,5.7,8.31,94,100,2.56,NO,2023-04-11
185,fairbanks,64.8378,-147.7164,-12.32,68,40,0.0,US,2023-04-11
186,taree,-31.9,152.4667,11.1,99,100,2.04,AU,2023-04-11
187,hithadhoo,-0.6,73.0833,28.45,66,20,0.55,MV,2023-04-11
188,fortuna,40.5982,-124.1573,12.18,70,39,1.79,US,2023-04-11
189,san andres,12.5847,-81.7006,30.01,66,20,3.6,CO,2023-04-11
190,tuzha,57.6062,47.936,7.11,54,25,1.81,RU,2023-04-11
191,aljezur,37.3191,-8.8033,17.3,74,7,5.9,PT,2023-04-11
192,ambon,-3.6954,128.1814,24.08,94,40,3.09,ID,2023-04-11
193,semporna,4.4818,118.6112,25.97,88,83,3.27,MY,2023-04-11
194,ruy barbosa,-12.2839,-40.4939,30.64,47,93,3.56,BR,2023-04-11
195,gladstone,-23.85,151.25,17.66,88,7,0.51,AU,2023-04-11
196,cabo san lucas,22.8909,-109.9124,31.45,45,68,4.11,MX,2023-04-11
197,osmena,10.5208,119.9258,26.18,80,100,2.41,PH,2023-04-11
198,sao filipe,14.8961,-24.4956,22.49,66,99,3.86,CV,2023-04-11
199,kakonko,-3.2828,30.9642,18.32,94,99,0.6,TZ,2023-04-11
200,morganton,35.7454,-81.6848,23.23,24,0,1.79,US,2023-04-11
201,mwinilunga,-11.7358,24.4293,16.87,97,98,1.93,ZM,2023-04-11
202,lexington,37.9887,-84.4777,22.36,30,0,2.06,US,2023-04-11
203,kapaa,22.0752,-159.319,24.18,82,75,8.23,US,2023-04-11
204,kalga,50.9251,118.898,-6.42,71,22,4.27,RU,2023-04-11
205,kosa,59.9445,54.9977,2.0,84,100,2.41,RU,2023-04-11
206,alyangula,-13.8483,136.4192,27.66,77,58,2.78,AU,2023-04-11
207,hami,42.8,93.45,14.71,32,88,6.36,CN,2023-04-11
208,cherskiy,68.75,161.3,-28.05,95,80,1.25,RU,2023-04-11
209,hervey bay,-25.2986,152.8535,18.78,49,26,3.86,AU,2023-04-11
210,suluq,31.6682,20.2521,15.2,60,13,8.74,LY,2023-04-11
211,santa rosa,14.3122,121.1114,27.84,80,97,0.83,PH,2023-04-11
212,san jeronimo,-11.9472,-75.2829,14.36,63,72,2.06,PE,2023-04-11
213,atikokan,48.7555,-91.6216,10.05,85,100,1.61,CA,2023-04-11
214,kieta,-6.2167,155.6333,25.57,86,100,1.8,PG,2023-04-11
215,manono,-7.3,27.4167,22.86,87,94,0.87,CD,2023-04-11
216,airai,-8.9266,125.4092,15.67,94,22,1.13,TL,2023-04-11
217,lahij,13.1667,44.5833,26.55,58,5,3.69,YE,2023-04-11
218,moerai,-22.4333,-151.3333,25.45,75,31,5.58,PF,2023-04-11
219,namatanai,-3.6667,152.4333,25.85,82,100,0.42,PG,2023-04-11
220,vila,42.0304,-8.1588,10.94,75,97,3.14,PT,2023-04-11
